,Date,target,Volume,Volume_in_past1,Volume_in_past2,price_in_past1,price_in_past2,delta_target,delta_price_in_past,delta_volume_in_past,sp500,sp500_in_past1,sp500_in_past2,delta_sp500_in_past
16,2020-05-06,7.3960015798057945,323464000,368896000.0,317556000.0,7.359635380039009,6.996224123851713,0.004941304546882688,0.05194391285269795,0.16167227197722606,267.81363587457895,266.511917840321,261.0262705544154,0.021015690391063616
17,2020-05-07,7.556659104625478,373732000,323464000.0,368896000.0,7.3960015798057945,7.359635380039009,0.021722213426555528,0.004941304546882688,-0.12315666204024983,267.5439426668808,267.81363587457895,266.511917840321,0.0048842770139752145
18,2020-05-08,7.665507399718364,339216000,373732000.0,323464000.0,7.556659104625478,7.3960015798057945,0.014404288136573405,0.021722213426555528,0.15540523829545175,270.6493945918903,267.5439426668808,267.81363587457895,-0.0010070182080812384
19,2020-05-11,7.778839210396345,469060000,339216000.0,373732000.0,7.665507399718364,7.556659104625478,0.01478464565596077,0.014404288136573405,-0.09235494953603117,269.9520922042716,270.6493945918903,267.5439426668808,0.011607259331137633
20,2020-05-12,8.093679830683575,493060000,469060000.0,339216000.0,7.778839210396345,7.665507399718364,0.04047398484165199,0.01478464565596077,0.38277675581340503,273.15984904420077,269.9520922042716,270.6493945918903,-0.002576404756678564
21,2020-05-13,7.888437525879459,625852000,493060000.0,469060000.0,8.093679830683575,7.778839210396345,-0.025358342447156325,0.04047398484165199,0.051166162111456956,265.97261259115965,273.15984904420077,269.9520922042716,0.011882689308819578
22,2020-05-14,7.812964929554271,602312000,625852000.0,493060000.0,7.888437525879459,8.093679830683575,-0.009567496234531396,-0.025358342447156325,0.2693221920253113,259.3619669165007,265.97261259115965,273.15984904420077,-0.026311467363119446
23,2020-05-15,7.860786409150367,987660000,602312000.0,625852000.0,7.812964929554271,7.888437525879459,0.0061207851343605445,-0.009567496234531396,-0.037612726331464945,262.5417149243361,259.3619669165007,265.97261259115965,-0.024854610443747108
24,2020-05-18,8.728341623199956,774460000,987660000.0,602312000.0,7.860786409150367,7.812964929554271,0.11036493919230643,0.0061207851343605445,0.6397813757653841,272.47174005396664,262.5417149243361,259.3619669165007,0.0122598854629255
25,2020-05-19,8.757982920775056,717320000,774460000.0,987660000.0,8.728341623199956,7.860786409150367,0.003395982748465495,0.11036493919230643,-0.21586375878338698,273.68053054339833,272.47174005396664,262.5417149243361,0.03782265661094038
26,2020-05-20,8.957995574868523,587536000,717320000.0,774460000.0,8.757982920775056,8.728341623199956,0.022837753384858855,0.003395982748465495,-0.07378044056503887,275.04733475964366,273.68053054339833,272.47174005396664,0.004436388482681819
27,2020-05-21,9.018274002825928,761068000,587536000.0,717320000.0,8.957995574868523,8.757982920775056,0.006729008454359458,0.022837753384858855,-0.18092901355043775,275.94922181093335,275.04733475964366,273.68053054339833,0.004994159480513683
28,2020-05-22,8.792855860477836,1038764000,761068000.0,587536000.0,9.018274002825928,8.957995574868523,-0.024995707856897652,0.006729008454359458,0.2953555186405599,273.8850967884195,275.94922181093335,275.04733475964366,0.0032790248706748076
29,2020-05-26,9.123137730859893,770780000,1038764000.0,761068000.0,8.792855860477836,9.018274002825928,0.03756252526174228,-0.024995707856897652,0.36487672586418035,280.7282457117374,273.8850967884195,275.94922181093335,-0.007480090028766541
30,2020-05-27,8.593339977535337,1175892000,770780000.0,1038764000.0,9.123137730859893,8.792855860477836,-0.05807187931981612,0.03756252526174228,-0.2579835265758151,280.90495001347256,280.7282457117374,273.8850967884195,0.024985473848561788
31,2020-05-28,8.381371223565477,734896000,1175892000.0,770780000.0,8.593339977535337,9.123137730859893,-0.024666631894465618,-0.05807187931981612,0.5255870676457615,283.25724327979765,280.90495001347256,280.7282457117374,0.0006294496703998644
32,2020-05-29,8.523098503753154,745256000,734896000.0,1175892000.0,8.381371223565477,8.593339977535337,0.016909796309843617,-0.024666631894465618,-0.37503104026560263,281.2209139001499,283.25724327979765,280.90495001347256,0.00837398296545601
33,2020-06-01,8.800825188704158,389876000,745256000.0,734896000.0,8.523098503753154,8.381371223565477,0.032585178363092555,0.016909796309843617,0.014097232805730334,282.2995272781476,281.2209139001499,283.25724327979765,-0.0071889754912154765
34,2020-06-02,8.763960479468725,391320000,389876000.0,745256000.0,8.800825188704158,8.523098503753154,-0.004188778716199067,0.032585178363092555,-0.4768562748907758,285.02378912295734,282.2995272781476,281.2209139001499,0.003835466441804684
35,2020-06-03,8.789866411031502,365440000,391320000.0,389876000.0,8.763960479468725,8.800825188704158,0.0029559617051522135,-0.004188778716199067,0.0037037417024900223,288.45467951627955,285.02378912295734,282.2995272781476,0.00965025294613955
36,2020-06-04,8.69993003369928,424280000,365440000.0,391320000.0,8.789866411031502,8.763960479468725,-0.010231825277725466,0.0029559617051522135,-0.06613513237248288,289.26355742608666,288.45467951627955,285.02378912295734,0.012037207153407649
37,2020-06-05,8.766216491605745,481748000,424280000.0,365440000.0,8.69993003369928,8.789866411031502,0.007619194367047002,-0.010231825277725466,0.16101138353765324,294.95392011356,289.26355742608666,288.45467951627955,0.002804176764140371
38,2020-06-08,8.848701830442812,387736000,481748000.0,424280000.0,8.766216491605745,8.69993003369928,0.009409457194680552,0.007619194367047002,0.1354482888658433,297.73388653430663,294.95392011356,289.26355742608666,0.019671896239218986
39,2020-06-09,8.77169763139391,468488000,387736000.0,481748000.0,8.848701830442812,8.766216491605745,-0.008702315946953863,0.009409457194680552,-0.19514767056635418,297.8082439121536,297.73388653430663,294.95392011356,0.00942508721252567
40,2020-06-10,9.138265701793136,632180000,468488000.0,387736000.0,8.77169763139391,8.848701830442812,0.04178986620415182,-0.008702315946953863,0.20826541770689336,298.84971861107726,297.8082439121536,297.73388653430663,0.0002497444234934662
41,2020-06-11,9.120573115586287,583652000,632180000.0,468488000.0,9.138265701793136,8.77169763139391,-0.0019360989036877063,0.04178986620415182,0.34940489404210995,289.58902566068906,298.84971861107726,297.8082439121536,0.003497131863249766
42,2020-06-12,9.133033152688672,570908000,583652000.0,632180000.0,9.120573115586287,9.138265701793136,0.0013661462875716706,-0.0019360989036877063,-0.0767629472618558,286.5950920205788,289.58902566068906,298.84971861107726,-0.030987792103094002
43,2020-06-15,8.786900466028952,400004000,570908000.0,583652000.0,9.133033152688672,9.120573115586287,-0.03789898502205942,0.0013661462875716706,-0.021834929033053944,277.09280297024503,286.5950920205788,289.58902566068906,-0.010338560424655833
44,2020-06-16,9.195330819969957,535716000,400004000.0,570908000.0,8.786900466028952,9.133033152688672,0.046481732155728706,-0.03789898502205942,-0.29935471214276205,293.326796226038,277.09280297024503,286.5950920205788,-0.03315579824950903
45,2020-06-17,9.084439533349283,408304000,535716000.0,400004000.0,9.195330819969957,8.786900466028952,-0.012059521162615081,0.046481732155728706,0.33927660723392766,292.0157652122525,293.326796226038,277.09280297024503,0.05858684556861712
46,2020-06-18,9.197325372464938,254408000,408304000.0,535716000.0,9.084439533349283,9.195330819969957,0.012426285485334325,-0.012059521162615081,-0.23783497226142208,288.2408368014011,292.0157652122525,293.326796226038,-0.004469523516614647
